Strain,Strain_old.x
LPB4.O,B4_orig
LPD2_E2,LPD2_E2
LRC7.O,C7
LRH8.O,H8-3_orig
LAC11,LSY1
LBA1,LBA1
LBA20,L020_BA
LMC1,C1
LMI1,LMI1
LMK1,K1
LPA2,LAR1.2
LPD11,LPD1.1
LPE1.3.1,LPE1.3.1
LST17,LST1.1
LMA1,A1
LMB2,B2
LMC3,C3
LMD1,D1
LME3,E3
LMR1,R1
LMX7,X7
LSP13,LSP1.3
LAR12,LAR2
LAR21,LAR2.1
LBA112,LBA1.1.2
LBA21,LBA2.1
LBA3,LBA3
LBA71,LBA7.1
LMG1,G1
LMI11,LBA2.2
LMI1x,I1x
LMN1,N1
LMO1,O1
LST12,LAR3
LST15,LHY1
LMI12,LPX1.2.1
LMS1,S1
LMU1,U1
LMX9,X9
LMZ1,Z1
LRH13,LAC1.3
LMF1,F1
LMI13,LST3
LML1,L1
LMX3,X3
LME1,E1
LME2,E2
LMG2,G2
LMH1,H1
LMI14,LST4
LMI15,LSY2.2
LMJ1,J1
LMM1,M1
LMQ1,Q1
LMT1,T1
LMV1,V1
LMW1,W1
LMX11,X11
LMX8,X8
LMY1,Y1
LPB4.R,B4_R
LRC7.S,C7_S
LRH11,LCE1.1
LRH8.S,H8-3_S
LST11,LAC1.2
LST13,LAR4
LST14,LBR1
LST16,LMI2
LAT1,LAT1
LAT2,LAT2
LBN1,LBN1
LBN2,LBN2
LBN3,LBN3
LBN4,LBN4
LBN5,LBN5
LBN6,LBN6
LBN7,LBN7
LWO12,LWO12
LTA1,LTA1
LTA2,LTA2
LTA3,LTA3
LTA4,LTA4
LTA5,LTA5
LTA6,LTA6
LTA7,LTA7
LWS1,LWS1
LMS3,LMS3
LMS4,LMS4
LMS5,LMS5
LWO13,LWO13
LWO14,LWO14
LWO15,LWO15
LWH11,LWH11
LWH12,LWH12
LWH13,LWH13
LWS11,LWS11
LWS12,LWS12
LWS13,LWS13
LWS15,LWS15
LBO11,LBO11
KSC1,KSC1
LBH2,LBH2
LBH3,LBH3
LBH7,LBH7
LBO1,LBO1
LBO3,LBO3
LBO4,LBO4
LBO6,LBO6
LBS1,LBS1
LWH1,LWH1
LWH3,LWH3
LWH4,LWH4
LWH5,LWH5
LWH7,LWH7
LWH8,LWH8
LWH9,LWH9
LWH10,LWH10
LWO2,LWO2
LWO5,LWO5
LWO6,LWO6
LWO8,LWO8
LWS2,LWS2
