Row,Column,Well,Sample,Strain,Treatment,Replicate
F,2,F2,LMB2_DMSO,LMB2,DMSO,1
G,2,G2,LMB2_DMSO,LMB2,DMSO,2
F,4,F4,LMB2_DMSO,LMB2,DMSO,3
D,6,D6,LMB2_DMSO,LMB2,DMSO,4
C,8,C8,LMB2_DMSO,LMB2,DMSO,5
B,10,B10,LMB2_DMSO,LMB2,DMSO,6
D,10,D10,LMB2_DMSO,LMB2,DMSO,7
F,10,F10,LMB2_DMSO,LMB2,DMSO,8
G,10,G10,LMB2_DMSO,LMB2,DMSO,9
C,3,C3,LMB2_MBOA,LMB2,MBOA,1
B,5,B5,LMB2_MBOA,LMB2,MBOA,2
D,5,D5,LMB2_MBOA,LMB2,MBOA,3
F,5,F5,LMB2_MBOA,LMB2,MBOA,4
G,5,G5,LMB2_MBOA,LMB2,MBOA,5
F,7,F7,LMB2_MBOA,LMB2,MBOA,6
G,7,G7,LMB2_MBOA,LMB2,MBOA,7
F,9,F9,LMB2_MBOA,LMB2,MBOA,8
D,11,D11,LMB2_MBOA,LMB2,MBOA,9
A,1,A1,medium_no,medium,no,1
B,1,B1,medium_no,medium,no,2
C,1,C1,medium_no,medium,no,3
D,1,D1,medium_no,medium,no,4
E,1,E1,medium_no,medium,no,5
F,1,F1,medium_no,medium,no,6
G,1,G1,medium_no,medium,no,7
H,1,H1,medium_no,medium,no,8
A,2,A2,medium_no,medium,no,9
H,2,H2,medium_no,medium,no,10
A,3,A3,medium_no,medium,no,11
H,3,H3,medium_no,medium,no,12
A,4,A4,medium_no,medium,no,13
H,4,H4,medium_no,medium,no,14
A,5,A5,medium_no,medium,no,15
H,5,H5,medium_no,medium,no,16
A,6,A6,medium_no,medium,no,17
H,6,H6,medium_no,medium,no,18
A,7,A7,medium_no,medium,no,19
H,7,H7,medium_no,medium,no,20
A,8,A8,medium_no,medium,no,21
H,8,H8,medium_no,medium,no,22
A,9,A9,medium_no,medium,no,23
H,9,H9,medium_no,medium,no,24
A,10,A10,medium_no,medium,no,25
H,10,H10,medium_no,medium,no,26
A,11,A11,medium_no,medium,no,27
H,11,H11,medium_no,medium,no,28
A,12,A12,medium_no,medium,no,29
B,12,B12,medium_no,medium,no,30
C,12,C12,medium_no,medium,no,31
D,12,D12,medium_no,medium,no,32
E,12,E12,medium_no,medium,no,33
F,12,F12,medium_no,medium,no,34
G,12,G12,medium_no,medium,no,35
H,12,H12,medium_no,medium,no,36
B,4,B4,NBC_DMSO,NBC,DMSO,1
G,4,G4,NBC_DMSO,NBC,DMSO,2
D,8,D8,NBC_DMSO,NBC,DMSO,3
D,3,D3,NBC_MBOA,NBC,MBOA,1
B,9,B9,NBC_MBOA,NBC,MBOA,2
G,9,G9,NBC_MBOA,NBC,MBOA,3
